start,startPosition,end,endPosition,frequency
11,"[138.115783691406, 166.815368652344, 110.192565917969]",13,"[141.510070800781, 183.282073974609, 121.512069702148]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",19,"[134.525161743164, 137.630401611328, 79.4138793945313]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",20,"[139.903259277344, 145.456604003906, 83.0818939208984]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",29,"[162.116790771484, 126.284957885742, 115.731018066406]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",36,"[144.717269897461, 58.3753814697266, 135.036666870117]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",55,"[158.1484375, 122.993423461914, 146.970474243164]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",56,"[162.753692626953, 109.85758972168, 149.125045776367]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",62,"[153.248168945313, 128.083526611328, 150.412384033203]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",63,"[156.858428955078, 120.272644042969, 153.920471191406]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",64,"[159.923980712891, 106.975082397461, 154.952331542969]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",70,"[151.385025024414, 123.832473754883, 157.891616821289]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",72,"[158.27294921875, 102.543960571289, 160.457229614258]",5
11,"[138.115783691406, 166.815368652344, 110.192565917969]",74,"[137.393859863281, 159.848663330078, 153.828704833984]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",77,"[143.384338378906, 133.111267089844, 160.524078369141]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",78,"[147.340835571289, 121.565628051758, 163.375396728516]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",79,"[152.297546386719, 110.439277648926, 165.796768188477]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",80,"[154.009948730469, 99.6354827880859, 164.822769165039]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",81,"[127.291488647461, 165.8056640625, 155.817199707031]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",82,"[131.881317138672, 157.160125732422, 159.293716430664]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",83,"[136.253372192383, 147.93034362793, 162.544525146484]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",84,"[137.512908935547, 138.574401855469, 164.48161315918]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",85,"[140.277969360352, 127.609336853027, 166.846221923828]",4
11,"[138.115783691406, 166.815368652344, 110.192565917969]",86,"[142.474761962891, 114.694999694824, 168.628967285156]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",87,"[143.150955200195, 102.914924621582, 168.487869262695]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",88,"[146.296234130859, 94.5201263427734, 169.774810791016]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",89,"[123.24536895752, 163.177642822266, 160.847427368164]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",90,"[126.428924560547, 153.634704589844, 163.887054443359]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",92,"[128.704620361328, 133.460098266602, 168.202728271484]",3
11,"[138.115783691406, 166.815368652344, 110.192565917969]",93,"[133.421844482422, 121.468811035156, 172.495513916016]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",94,"[139.751235961914, 109.109580993652, 176.829193115234]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",95,"[142.112106323242, 98.2465896606445, 177.792465209961]",2
11,"[138.115783691406, 166.815368652344, 110.192565917969]",96,"[145.032943725586, 88.1519393920898, 178.122940063477]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",102,"[135.048889160156, 103.178604125977, 186.348114013672]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",103,"[138.054092407227, 90.9049072265625, 185.148300170898]",1
11,"[138.115783691406, 166.815368652344, 110.192565917969]",104,"[139.82746887207, 80.8504486083984, 184.762222290039]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",11,"[138.115783691406, 166.815368652344, 110.192565917969]",2
12,"[142.168121337891, 181.290649414063, 112.606002807617]",19,"[134.525161743164, 137.630401611328, 79.4138793945313]",2
12,"[142.168121337891, 181.290649414063, 112.606002807617]",20,"[139.903259277344, 145.456604003906, 83.0818939208984]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",40,"[143.513229370117, 74.7163467407227, 163.437545776367]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",2
12,"[142.168121337891, 181.290649414063, 112.606002807617]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",62,"[153.248168945313, 128.083526611328, 150.412384033203]",2
12,"[142.168121337891, 181.290649414063, 112.606002807617]",63,"[156.858428955078, 120.272644042969, 153.920471191406]",2
12,"[142.168121337891, 181.290649414063, 112.606002807617]",64,"[159.923980712891, 106.975082397461, 154.952331542969]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",72,"[158.27294921875, 102.543960571289, 160.457229614258]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",77,"[143.384338378906, 133.111267089844, 160.524078369141]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",78,"[147.340835571289, 121.565628051758, 163.375396728516]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",79,"[152.297546386719, 110.439277648926, 165.796768188477]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",80,"[154.009948730469, 99.6354827880859, 164.822769165039]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",85,"[140.277969360352, 127.609336853027, 166.846221923828]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",86,"[142.474761962891, 114.694999694824, 168.628967285156]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",87,"[143.150955200195, 102.914924621582, 168.487869262695]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",102,"[135.048889160156, 103.178604125977, 186.348114013672]",1
12,"[142.168121337891, 181.290649414063, 112.606002807617]",103,"[138.054092407227, 90.9049072265625, 185.148300170898]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",19,"[134.525161743164, 137.630401611328, 79.4138793945313]",13
13,"[141.510070800781, 183.282073974609, 121.512069702148]",20,"[139.903259277344, 145.456604003906, 83.0818939208984]",2
13,"[141.510070800781, 183.282073974609, 121.512069702148]",21,"[143.370513916016, 148.862396240234, 92.4859619140625]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",31,"[159.121353149414, 133.200607299805, 132.419250488281]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",37,"[146.930099487305, 62.2486381530762, 141.753280639648]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",48,"[162.016784667969, 110.453544616699, 141.470611572266]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",55,"[158.1484375, 122.993423461914, 146.970474243164]",9
13,"[141.510070800781, 183.282073974609, 121.512069702148]",56,"[162.753692626953, 109.85758972168, 149.125045776367]",5
13,"[141.510070800781, 183.282073974609, 121.512069702148]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",10
13,"[141.510070800781, 183.282073974609, 121.512069702148]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",16
13,"[141.510070800781, 183.282073974609, 121.512069702148]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",14
13,"[141.510070800781, 183.282073974609, 121.512069702148]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",11
13,"[141.510070800781, 183.282073974609, 121.512069702148]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",9
13,"[141.510070800781, 183.282073974609, 121.512069702148]",62,"[153.248168945313, 128.083526611328, 150.412384033203]",10
13,"[141.510070800781, 183.282073974609, 121.512069702148]",63,"[156.858428955078, 120.272644042969, 153.920471191406]",12
13,"[141.510070800781, 183.282073974609, 121.512069702148]",64,"[159.923980712891, 106.975082397461, 154.952331542969]",9
13,"[141.510070800781, 183.282073974609, 121.512069702148]",69,"[148.403366088867, 133.275024414063, 154.729370117188]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",70,"[151.385025024414, 123.832473754883, 157.891616821289]",12
13,"[141.510070800781, 183.282073974609, 121.512069702148]",72,"[158.27294921875, 102.543960571289, 160.457229614258]",9
13,"[141.510070800781, 183.282073974609, 121.512069702148]",76,"[142.160507202148, 142.335327148438, 158.860244750977]",2
13,"[141.510070800781, 183.282073974609, 121.512069702148]",77,"[143.384338378906, 133.111267089844, 160.524078369141]",6
13,"[141.510070800781, 183.282073974609, 121.512069702148]",78,"[147.340835571289, 121.565628051758, 163.375396728516]",11
13,"[141.510070800781, 183.282073974609, 121.512069702148]",79,"[152.297546386719, 110.439277648926, 165.796768188477]",8
13,"[141.510070800781, 183.282073974609, 121.512069702148]",80,"[154.009948730469, 99.6354827880859, 164.822769165039]",3
13,"[141.510070800781, 183.282073974609, 121.512069702148]",81,"[127.291488647461, 165.8056640625, 155.817199707031]",8
13,"[141.510070800781, 183.282073974609, 121.512069702148]",82,"[131.881317138672, 157.160125732422, 159.293716430664]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",83,"[136.253372192383, 147.93034362793, 162.544525146484]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",84,"[137.512908935547, 138.574401855469, 164.48161315918]",2
13,"[141.510070800781, 183.282073974609, 121.512069702148]",85,"[140.277969360352, 127.609336853027, 166.846221923828]",6
13,"[141.510070800781, 183.282073974609, 121.512069702148]",86,"[142.474761962891, 114.694999694824, 168.628967285156]",2
13,"[141.510070800781, 183.282073974609, 121.512069702148]",87,"[143.150955200195, 102.914924621582, 168.487869262695]",8
13,"[141.510070800781, 183.282073974609, 121.512069702148]",88,"[146.296234130859, 94.5201263427734, 169.774810791016]",5
13,"[141.510070800781, 183.282073974609, 121.512069702148]",89,"[123.24536895752, 163.177642822266, 160.847427368164]",4
13,"[141.510070800781, 183.282073974609, 121.512069702148]",92,"[128.704620361328, 133.460098266602, 168.202728271484]",1
13,"[141.510070800781, 183.282073974609, 121.512069702148]",94,"[139.751235961914, 109.109580993652, 176.829193115234]",2
13,"[141.510070800781, 183.282073974609, 121.512069702148]",95,"[142.112106323242, 98.2465896606445, 177.792465209961]",2
13,"[141.510070800781, 183.282073974609, 121.512069702148]",96,"[145.032943725586, 88.1519393920898, 178.122940063477]",5
13,"[141.510070800781, 183.282073974609, 121.512069702148]",102,"[135.048889160156, 103.178604125977, 186.348114013672]",3
13,"[141.510070800781, 183.282073974609, 121.512069702148]",103,"[138.054092407227, 90.9049072265625, 185.148300170898]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",11,"[138.115783691406, 166.815368652344, 110.192565917969]",5
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",12,"[142.168121337891, 181.290649414063, 112.606002807617]",2
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",13,"[141.510070800781, 183.282073974609, 121.512069702148]",10
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",20,"[139.903259277344, 145.456604003906, 83.0818939208984]",11
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",31,"[159.121353149414, 133.200607299805, 132.419250488281]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",39,"[145.143127441406, 70.3753051757813, 155.929061889648]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",55,"[158.1484375, 122.993423461914, 146.970474243164]",7
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",56,"[162.753692626953, 109.85758972168, 149.125045776367]",7
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",13
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",15
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",19
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",15
