start,end,frequency
11,39,1
11,51,1
11,59,1
11,60,1
11,62,1
11,72,1
11,82,1
11,85,1
11,92,1
11,95,1
13,18,3
13,19,1
13,20,1
13,30,1
13,55,1
13,57,2
13,58,6
13,59,5
13,60,4
13,62,1
13,63,3
13,64,1
13,69,1
13,70,3
13,71,2
13,72,3
13,76,1
13,77,3
13,78,2
13,79,2
13,80,1
13,81,4
13,83,3
13,84,1
13,85,1
13,89,2
13,91,2
13,92,3
13,96,1
13,104,1
13,111,1
13,116,1
13,118,1
14,18,2
14,19,2
14,55,1
14,56,1
14,57,1
14,58,3
14,59,4
14,60,2
14,61,2
14,62,5
14,63,3
14,64,3
14,70,3
14,71,3
14,72,4
14,74,1
14,77,3
14,78,3
14,79,3
14,80,2
14,81,3
14,85,2
14,87,2
14,88,2
14,89,1
14,93,1
14,95,1
14,100,1
14,102,1
14,104,1
14,110,1
14,111,3
14,118,2
14,119,1
15,13,2
15,14,2
15,19,1
15,20,2
15,57,2
15,58,4
15,59,3
15,60,3
15,61,1
15,62,3
15,63,4
15,64,2
15,70,4
15,71,1
15,72,2
15,75,1
15,78,3
15,79,2
15,80,1
15,85,3
15,87,2
15,88,1
15,89,1
15,91,1
15,95,1
15,96,2
15,104,2
16,70,1
16,71,1
16,72,2
16,76,2
16,77,1
16,79,1
16,82,1
16,83,3
16,91,1
16,92,2
16,119,1
16,124,1
18,13,2
18,14,2
18,15,2
18,19,1
18,20,1
18,41,1
18,57,3
18,58,3
18,59,3
18,60,3
18,62,2
18,63,5
18,64,3
18,69,1
18,70,2
18,71,2
18,72,3
18,75,1
18,77,1
18,78,1
18,79,2
18,81,3
18,82,1
18,83,1
18,85,1
18,87,1
18,89,2
18,91,1
18,95,1
18,96,1
18,104,1
18,118,1
19,13,2
19,14,1
19,15,2
19,18,3
19,20,1
19,40,1
19,41,1
19,45,1
19,55,1
19,57,3
19,58,4
19,59,5
19,60,3
19,61,2
19,62,2
19,63,4
19,64,1
19,70,4
19,71,2
19,72,3
19,77,1
19,78,2
19,79,2
19,80,2
19,81,3
19,83,1
19,84,1
19,85,2
19,89,2
19,91,1
19,92,1
19,96,2
19,104,1
19,116,2
19,119,1
19,123,1
20,13,2
20,15,2
20,19,2
20,39,1
20,57,2
20,58,2
20,59,3
20,61,1
20,62,1
20,63,3
20,70,2
20,71,1
20,75,1
20,78,2
20,79,2
20,81,1
20,83,1
20,85,1
20,89,1
20,90,1
20,91,1
20,93,1
20,96,2
20,104,2
20,110,1
20,111,1
20,118,1
22,16,1
30,13,1
30,45,1
30,58,1
30,59,1
30,92,1
30,124,1
31,34,1
31,75,1
34,31,1
34,39,1
34,40,1
34,69,1
34,75,1
