fromE,to,frequency
11,13,2
11,14,1
11,15,3
11,16,3
11,17,1
11,18,2
11,19,3
11,20,1
11,29,1
11,36,1
11,55,4
11,56,4
11,57,3
11,58,2
11,59,4
11,60,4
11,61,1
11,62,3
11,63,3
11,64,2
11,70,2
11,71,2
11,72,5
11,74,3
11,77,4
11,78,4
11,79,2
11,80,2
11,81,2
11,82,2
11,83,1
11,84,1
11,85,4
11,86,2
11,87,2
11,88,3
11,89,2
11,90,1
11,92,3
11,93,1
11,94,1
11,95,2
11,96,1
11,102,1
11,103,1
11,104,1
11,109,1
11,110,2
11,111,1
11,112,1
11,118,3
11,119,2
11,120,1
12,11,2
12,14,1
12,15,1
12,19,2
12,20,1
12,40,1
12,57,1
12,58,2
12,59,1
12,60,1
12,61,1
12,62,2
12,63,2
12,64,1
12,71,1
12,72,1
12,77,1
12,78,1
12,79,1
12,80,1
12,85,1
12,86,1
12,87,1
12,102,1
12,103,1
12,110,1
12,112,1
12,118,1
12,119,1
12,124,1
13,14,4
13,15,3
13,16,4
13,17,3
13,18,11
13,19,13
13,20,2
13,21,1
13,31,1
13,37,1
13,48,1
13,55,9
13,56,5
13,57,10
13,58,16
13,59,14
13,60,11
13,61,9
13,62,10
13,63,12
13,64,9
13,69,1
13,70,12
13,71,9
13,72,9
13,76,2
13,77,6
13,78,11
13,79,8
13,80,3
13,81,8
13,82,1
13,83,1
13,84,2
13,85,6
13,86,2
13,87,8
13,88,5
13,89,4
13,92,1
13,94,2
13,95,2
13,96,5
13,102,3
13,103,1
13,110,6
13,111,7
13,112,1
13,113,1
13,116,1
13,118,8
13,119,10
13,120,1
14,11,1
14,12,2
14,13,4
14,15,17
14,16,3
14,17,1
14,18,10
14,19,13
14,20,10
14,22,1
14,23,1
14,39,1
14,40,2
14,41,1
14,45,1
14,55,8
14,56,3
14,57,18
14,58,28
14,59,27
14,60,13
14,61,13
14,62,25
14,63,28
14,64,15
14,67,1
14,69,5
14,70,19
14,71,22
14,72,18
14,76,1
14,77,14
14,78,15
14,79,22
14,80,13
14,81,13
14,82,3
14,83,1
14,84,1
14,85,12
14,86,7
14,87,17
14,88,18
14,89,6
14,90,2
14,91,2
14,92,2
14,94,2
14,95,7
14,96,7
14,99,1
14,100,1
14,101,1
14,102,8
14,103,4
14,104,7
14,110,14
14,111,11
14,112,8
14,113,1
14,114,1
14,116,1
14,118,15
14,119,17
14,120,4
14,121,1
14,124,1
15,11,2
15,12,2
15,13,5
15,14,14
15,16,3
15,17,1
15,18,9
15,19,16
15,20,12
15,40,1
15,41,1
15,55,10
15,56,6
15,57,17
15,58,21
15,59,25
15,60,18
15,61,17
15,62,24
15,63,21
15,64,15
15,67,2
15,69,5
15,70,20
15,71,20
15,72,22
15,74,1
15,75,2
15,76,1
15,77,14
15,78,17
15,79,18
15,80,14
15,81,14
15,82,1
15,83,2
15,85,15
15,86,5
15,87,14
15,88,11
15,89,7
15,90,1
15,91,2
15,92,2
15,95,6
15,96,4
15,101,1
15,102,8
15,103,6
15,104,6
15,108,1
15,110,10
15,111,13
15,112,9
15,113,1
15,118,13
15,119,18
15,120,5
15,121,1
15,124,1
16,11,5
16,12,3
16,13,6
16,14,3
16,15,2
16,17,2
16,18,3
16,19,9
16,20,2
16,37,1
16,39,1
16,40,2
16,41,1
16,45,4
16,55,5
16,56,3
16,57,6
16,58,7
16,59,8
16,60,3
16,61,6
16,62,9
16,63,7
16,64,5
16,67,1
16,70,7
16,71,8
16,72,8
16,74,1
16,75,2
16,76,1
16,77,6
16,78,5
16,79,7
16,80,3
16,81,7
16,82,3
16,83,3
16,84,2
16,85,4
16,86,2
16,87,7
16,88,5
16,89,7
16,90,1
16,92,1
16,96,2
16,99,1
16,102,3
16,103,1
16,104,1
16,110,7
16,111,4
16,112,3
16,118,7
16,119,8
16,124,1
17,12,1
17,13,3
17,14,1
17,16,1
17,18,5
17,37,1
17,56,2
17,57,2
17,58,2
17,59,3
17,60,1
17,62,1
17,63,2
17,69,1
17,70,3
17,71,2
17,74,1
17,76,1
17,78,2
17,79,1
17,81,1
17,82,1
17,84,1
17,85,1
17,87,1
17,88,2
17,90,1
17,95,1
17,96,1
17,110,1
17,111,1
17,113,1
17,118,2
17,119,3
18,11,3
18,13,12
18,14,3
18,15,4
18,16,4
18,17,3
18,19,9
18,20,2
18,40,1
18,45,2
18,48,1
18,55,6
18,56,7
18,57,9
18,58,9
18,59,17
18,60,11
18,61,7
18,62,10
18,63,11
18,64,7
18,69,2
18,70,14
18,71,9
18,72,8
18,75,1
18,76,2
18,77,3
18,78,12
18,79,10
18,80,6
18,81,9
18,82,1
18,84,3
18,85,6
18,86,3
18,87,4
18,88,5
18,89,3
18,92,1
18,93,1
18,94,4
18,95,3
18,96,1
18,99,2
18,102,4
18,103,2
18,104,5
18,108,1
18,110,7
18,111,7
18,112,3
18,113,1
18,116,1
18,118,8
18,119,12
18,120,1
18,124,1
19,11,5
19,12,2
19,13,10
19,14,10
19,15,11
19,16,7
19,17,1
19,18,11
19,20,11
19,31,1
19,39,1
19,55,7
19,56,7
19,57,13
19,58,15
19,59,19
19,60,15
19,61,15
19,62,17
19,63,16
19,64,8
19,67,1
19,69,1
19,70,17
19,71,17
19,72,16
19,74,2
19,75,2
19,77,9
19,78,14
19,79,14
19,80,10
19,81,12
19,82,4
19,83,4
19,84,1
19,85,9
19,86,4
19,87,11
19,88,8
19,89,9
